PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;INSTELLINGSCODE ACTUEEL;INSTELLINGSNAAM ACTUEEL;ONDERDEEL;SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2020;2021;2022;2023;2024
Friesland;0080;Leeuwarden;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;voltijd onderwijs;man;17;13;14;10;11
Friesland;0080;Leeuwarden;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;voltijd onderwijs;vrouw;36;41;29;22;29
Friesland;0080;Leeuwarden;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;sectoroverstijgend;sectoroverstijgend;59327;B Global Responsibility and Leadership;voltijd onderwijs;man;42;51;47;53;48
Friesland;0080;Leeuwarden;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;sectoroverstijgend;sectoroverstijgend;59327;B Global Responsibility and Leadership;voltijd onderwijs;vrouw;110;149;149;131;115
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);67085;M Sustainable Entrepreneurship;voltijd onderwijs;man;12;17;14;13;19
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);67085;M Sustainable Entrepreneurship;voltijd onderwijs;vrouw;23;24;22;20;12
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60656;M Cultural Geography;voltijd onderwijs;man;10;11;5;9;5
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60656;M Cultural Geography;voltijd onderwijs;vrouw;17;15;12;13;14
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);66461;M Recht en Bestuur;voltijd onderwijs;man;<5;<5;<5;5;<5
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);66461;M Recht en Bestuur;voltijd onderwijs;vrouw;<5;5;8;8;<5
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60815;M Taalwetenschappen;voltijd onderwijs;man;<5;5;<5;<5;<5
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60815;M Taalwetenschappen;voltijd onderwijs;vrouw;12;14;13;14;5
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;techniek;n.v.t. (techniek);65005;M Water Technology (joint degree);voltijd onderwijs;man;<5;0;0;0;0
Friesland;0080;Leeuwarden;reguliere inst.;master;21PH;Universiteit Twente;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);69319;M Environmental and Energy Management;voltijd onderwijs;man;37;32;22;25;14
Friesland;0080;Leeuwarden;reguliere inst.;master;21PH;Universiteit Twente;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);69319;M Environmental and Energy Management;voltijd onderwijs;vrouw;8;20;25;11;16
Friesland;0080;Leeuwarden;reguliere inst.;master;21PI;Wageningen University;techniek;n.v.t. (techniek);65005;M Water Technology (joint degree);voltijd onderwijs;man;12;17;17;12;17
Friesland;0080;Leeuwarden;reguliere inst.;master;21PI;Wageningen University;techniek;n.v.t. (techniek);65005;M Water Technology (joint degree);voltijd onderwijs;vrouw;13;12;9;15;13
Gelderland;0200;Apeldoorn;WO kleine univ.;bachelor;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;man;49;51;57;56;87
Gelderland;0200;Apeldoorn;WO kleine univ.;bachelor;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;vrouw;19;22;21;20;29
Gelderland;0200;Apeldoorn;WO kleine univ.;master;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);60257;M Theologie;voltijd onderwijs;man;32;35;32;31;27
Gelderland;0200;Apeldoorn;WO kleine univ.;master;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);60257;M Theologie;voltijd onderwijs;vrouw;5;6;6;9;<5
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50645;B Bedrijfskunde;voltijd onderwijs;man;954;970;970;958;910
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50645;B Bedrijfskunde;voltijd onderwijs;vrouw;685;724;686;655;611
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;man;546;548;514;469;446
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;vrouw;206;180;155;125;124
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50035;B Culturele Antropologie en Ontwikkelingssociologie;voltijd onderwijs;man;26;23;22;27;30
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50035;B Culturele Antropologie en Ontwikkelingssociologie;voltijd onderwijs;vrouw;138;136;130;155;143
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;man;55;76;81;80;73
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;vrouw;104;123;143;153;147
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;man;351;379;408;396;415
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;onbekend;<5;0;0;<5;<5
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;vrouw;1198;1385;1475;1581;1577
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56606;B Politicologie;voltijd onderwijs;man;251;267;241;233;241
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56606;B Politicologie;voltijd onderwijs;vrouw;165;189;151;144;139
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56607;B Pedagogische Wetenschappen;voltijd onderwijs;man;85;84;93;103;94
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56607;B Pedagogische Wetenschappen;voltijd onderwijs;vrouw;993;994;1019;1075;1085
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56615;B Communicatiewetenschap;voltijd onderwijs;man;90;72;79;86;80
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56615;B Communicatiewetenschap;voltijd onderwijs;vrouw;265;246;233;250;247
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56627;B Bestuurskunde;voltijd onderwijs;man;179;175;148;153;153
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56627;B Bestuurskunde;voltijd onderwijs;vrouw;150;144;138;134;120
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56947;B Geografie, Planologie en Milieu;voltijd onderwijs;man;266;269;284;332;348
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56947;B Geografie, Planologie en Milieu;voltijd onderwijs;vrouw;194;194;180;175;161
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56551;B Geneeskunde;voltijd onderwijs;man;416;423;416;427;428
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56551;B Geneeskunde;voltijd onderwijs;vrouw;691;736;739;750;766
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56560;B Tandheelkunde;voltijd onderwijs;man;73;80;95;84;77
