,vestigingscode,instellingscode,instellingsnaam,vestigingsgemeente,jaar,opleidingsvorm,soort_ho,type_ho,herkomst,status,ingeschrevenen_HO,instroom_RR,instroom_HO,tweedejaars_HO,hogerejaars_HO,instroom_THO_NW,tweedejaars_THO_NW,hogerejaars_THO_NW,provincie
7027,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2025,voltijd,wo,ma,EER,prognose,0.552,0.552,0.46,0.0,0.092,0.46,0.0,0.092,Utrecht
7028,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2026,voltijd,wo,ma,EER,prognose,0.561,0.561,0.4675,0.0,0.0935,0.4675,0.0,0.0935,Utrecht
7029,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2027,voltijd,wo,ma,EER,prognose,0.553,0.553,0.460833333333333,0.0,0.0921666666666667,0.460833333333333,0.0,0.0921666666666667,Utrecht
7030,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2028,voltijd,wo,ma,EER,prognose,0.545,0.545,0.454166666666667,0.0,0.0908333333333333,0.454166666666667,0.0,0.0908333333333333,Utrecht
7031,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2029,voltijd,wo,ma,EER,prognose,0.539,0.539,0.449166666666667,0.0,0.0898333333333333,0.449166666666667,0.0,0.0898333333333333,Utrecht
7032,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2030,voltijd,wo,ma,EER,prognose,0.535,0.535,0.445833333333333,0.0,0.0891666666666667,0.445833333333333,0.0,0.0891666666666667,Utrecht
7033,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2031,voltijd,wo,ma,EER,prognose,0.531,0.531,0.4425,0.0,0.0885,0.4425,0.0,0.0885,Utrecht
7034,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2032,voltijd,wo,ma,EER,prognose,0.528,0.528,0.44,0.0,0.088,0.44,0.0,0.088,Utrecht
7035,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2033,voltijd,wo,ma,EER,prognose,0.524,0.524,0.436666666666667,0.0,0.0873333333333333,0.436666666666667,0.0,0.0873333333333333,Utrecht
7036,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2034,voltijd,wo,ma,EER,prognose,0.519,0.519,0.4325,0.0,0.0865,0.4325,0.0,0.0865,Utrecht
7037,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2035,voltijd,wo,ma,EER,prognose,0.514,0.514,0.428333333333333,0.0,0.0856666666666667,0.428333333333333,0.0,0.0856666666666667,Utrecht
7038,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2036,voltijd,wo,ma,EER,prognose,0.51,0.51,0.425,0.0,0.085,0.425,0.0,0.085,Utrecht
7039,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2037,voltijd,wo,ma,EER,prognose,0.507,0.507,0.4225,0.0,0.0845,0.4225,0.0,0.0845,Utrecht
7040,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2038,voltijd,wo,ma,EER,prognose,0.505,0.505,0.420833333333333,0.0,0.0841666666666667,0.420833333333333,0.0,0.0841666666666667,Utrecht
7041,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2025,voltijd,wo,ma,NL,prognose,2.839,1.052,0.0134871794871795,0.026974358974359,2.79853846153846,0.701333333333333,0.10699476345251,2.03067190321416,Utrecht
7042,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2026,voltijd,wo,ma,NL,prognose,2.857,1.037,0.0132948717948718,0.0265897435897436,2.81711538461538,0.691333333333333,0.105881003972553,2.05978566269411,Utrecht
7043,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2027,voltijd,wo,ma,NL,prognose,2.836,1.037,0.0132948717948718,0.0265897435897436,2.79611538461538,0.691333333333333,0.10573311664861,2.03893355001806,Utrecht
7044,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2028,voltijd,wo,ma,NL,prognose,2.796,1.038,0.0133076923076923,0.0266153846153846,2.75607692307692,0.692,0.105534127843987,1.99846587215601,Utrecht
7045,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2029,voltijd,wo,ma,NL,prognose,2.757,1.03,0.0132051282051282,0.0264102564102564,2.71738461538462,0.686666666666667,0.104597869266883,1.96573546406645,Utrecht
7046,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2030,voltijd,wo,ma,NL,prognose,2.733,1.025,0.0131410256410256,0.0262820512820513,2.69357692307692,0.683333333333333,0.104015348501264,1.9456513181654,Utrecht
7047,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2031,voltijd,wo,ma,NL,prognose,2.709,1.022,0.0131025641025641,0.0262051282051282,2.66969230769231,0.681333333333333,0.10359823040809,1.92406843625858,Utrecht
7048,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2032,voltijd,wo,ma,NL,prognose,2.697,1.022,0.0131025641025641,0.0262051282051282,2.65769230769231,0.681333333333333,0.103513723365836,1.91215294330083,Utrecht
7049,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2033,voltijd,wo,ma,NL,prognose,2.686,1.02,0.0130769230769231,0.0261538461538462,2.64676923076923,0.68,0.103270855904659,1.90272914409534,Utrecht
7050,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2034,voltijd,wo,ma,NL,prognose,2.677,1.017,0.0130384615384615,0.0260769230769231,2.63788461538462,0.678,0.102959371614301,1.8960406283857,Utrecht
7051,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2035,voltijd,wo,ma,NL,prognose,2.673,1.014,0.013,0.026,2.634,0.676,0.102683098591549,1.89431690140845,Utrecht
7052,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2036,voltijd,wo,ma,NL,prognose,2.669,1.014,0.013,0.026,2.63,0.676,0.102654929577465,1.89034507042254,Utrecht
7053,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2037,voltijd,wo,ma,NL,prognose,2.67,1.017,0.0130384615384615,0.0260769230769231,2.63088461538462,0.678,0.102910075839653,1.88908992416035,Utrecht
7054,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2038,voltijd,wo,ma,NL,prognose,2.669,1.019,0.0130641025641026,0.0261282051282051,2.62980769230769,0.679333333333333,0.103068436258577,1.88659823040809,Utrecht
7055,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2025,voltijd,wo,ma,niet-EER,prognose,3.162,2.606,2.23371428571429,0.928285714285714,0.0,2.23371428571429,0.928285714285714,0.0,Utrecht
7056,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2026,voltijd,wo,ma,niet-EER,prognose,3.221,2.649,2.27057142857143,0.950428571428571,0.0,2.27057142857143,0.950428571428571,0.0,Utrecht
7057,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2027,voltijd,wo,ma,niet-EER,prognose,3.273,2.691,2.30657142857143,0.966428571428571,0.0,2.30657142857143,0.966428571428571,0.0,Utrecht
7058,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2028,voltijd,wo,ma,niet-EER,prognose,3.282,2.687,2.30314285714286,0.978857142857143,0.0,2.30314285714286,0.978857142857143,0.0,Utrecht
7059,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2029,voltijd,wo,ma,niet-EER,prognose,3.269,2.674,2.292,0.977,0.0,2.292,0.977,0.0,Utrecht
7060,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2030,voltijd,wo,ma,niet-EER,prognose,3.259,2.666,2.28514285714286,0.973857142857143,0.0,2.28514285714286,0.973857142857143,0.0,Utrecht
7061,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2031,voltijd,wo,ma,niet-EER,prognose,3.246,2.654,2.27485714285714,0.971142857142857,0.0,2.27485714285714,0.971142857142857,0.0,Utrecht
7062,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2032,voltijd,wo,ma,niet-EER,prognose,3.231,2.642,2.26457142857143,0.966428571428571,0.0,2.26457142857143,0.966428571428571,0.0,Utrecht
7063,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2033,voltijd,wo,ma,niet-EER,prognose,3.214,2.627,2.25171428571429,0.962285714285714,0.0,2.25171428571429,0.962285714285714,0.0,Utrecht
