,vestigingscode,instellingscode,instellingsnaam,vestigingsgemeente,jaar,opleidingsvorm,soort_ho,type_ho,herkomst,status,ingeschrevenen_HO,instroom_RR,instroom_HO,tweedejaars_HO,hogerejaars_HO,instroom_THO_NW,tweedejaars_THO_NW,hogerejaars_THO_NW,provincie
0,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2024,voltijd,wo,ma,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utrecht
1,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2024,voltijd,wo,ma,NL,realisatie,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,Utrecht
2,00DV01,00DV,Protestantse Theologische Universiteit,Utrecht,2024,voltijd,wo,ma,niet-EER,realisatie,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Utrecht
3,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2017,deeltijd,wo,ba,NL,realisatie,10.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,Noord-Holland
4,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2018,deeltijd,wo,ba,NL,realisatie,14.0,7.0,0.0,0.0,11.0,0.0,0.0,6.0,Noord-Holland
5,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2019,deeltijd,wo,ba,NL,realisatie,21.0,7.0,0.0,0.0,20.0,7.0,6.0,8.0,Noord-Holland
6,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2020,deeltijd,wo,ba,NL,realisatie,17.0,0.0,0.0,0.0,16.0,0.0,6.0,8.0,Noord-Holland
7,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2021,deeltijd,wo,ba,NL,realisatie,12.0,0.0,0.0,0.0,9.0,0.0,0.0,8.0,Noord-Holland
8,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2022,deeltijd,wo,ba,NL,realisatie,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,Noord-Holland
9,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2023,deeltijd,wo,ba,NL,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noord-Holland
10,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2021,deeltijd,wo,ma,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noord-Holland
11,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2022,deeltijd,wo,ma,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noord-Holland
12,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2023,deeltijd,wo,ma,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noord-Holland
13,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2024,deeltijd,wo,ma,EER,realisatie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Noord-Holland
14,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2017,deeltijd,wo,ma,NL,realisatie,63.0,23.0,0.0,0.0,61.0,15.0,7.0,41.0,Noord-Holland
15,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2018,deeltijd,wo,ma,NL,realisatie,52.0,6.0,0.0,0.0,50.0,0.0,14.0,35.0,Noord-Holland
16,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2019,deeltijd,wo,ma,NL,realisatie,48.0,8.0,0.0,0.0,48.0,0.0,0.0,42.0,Noord-Holland
17,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2020,deeltijd,wo,ma,NL,realisatie,44.0,13.0,0.0,0.0,44.0,7.0,0.0,32.0,Noord-Holland
18,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2021,deeltijd,wo,ma,NL,realisatie,43.0,11.0,0.0,0.0,43.0,6.0,8.0,29.0,Noord-Holland
19,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2022,deeltijd,wo,ma,NL,realisatie,45.0,11.0,0.0,0.0,44.0,0.0,0.0,36.0,Noord-Holland
20,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2023,deeltijd,wo,ma,NL,realisatie,46.0,16.0,0.0,0.0,45.0,0.0,0.0,39.0,Noord-Holland
21,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2024,deeltijd,wo,ma,NL,realisatie,44.0,11.0,0.0,0.0,44.0,0.0,0.0,37.0,Noord-Holland
22,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2017,voltijd,wo,ba,NL,realisatie,23.0,7.0,0.0,0.0,17.0,7.0,0.0,13.0,Noord-Holland
23,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2018,voltijd,wo,ba,NL,realisatie,26.0,6.0,0.0,0.0,19.0,0.0,8.0,13.0,Noord-Holland
24,00DV03,00DV,Protestantse Theologische Universiteit,Amsterdam,2019,voltijd,wo,ba,NL,realisatie,42.0,0.0,0.0,7.0,34.0,0.0,10.0,28.0,Noord-Holland
